CS:GO Revival - item id reference (generated by build_item_ids.py)
Columns: <def_index>  <definition name>
     4118  crate_signature_pack_eslcologne2015_ninjasinpyjamas
     4119  crate_signature_pack_eslcologne2015_envyus
     4120  crate_signature_pack_eslcologne2015_titan
     4121  crate_signature_pack_eslcologne2015_solomid
     4122  crate_signature_pack_eslcologne2015_virtuspro
     4123  crate_signature_pack_eslcologne2015_mousesports
     4124  crate_signature_pack_eslcologne2015_renegades
     4125  crate_signature_pack_eslcologne2015_teamimmunity
     4126  crate_signature_pack_eslcologne2015_ebettle
     4127  crate_signature_pack_eslcologne2015_kinguin
     4128  crate_signature_pack_eslcologne2015_flipside
     4129  crate_signature_pack_eslcologne2015_clg
     4130  crate_signature_pack_eslcologne2015_cloud9
     4131  crate_eslcologne2015_promo_de_dust2
     4132  crate_eslcologne2015_promo_de_mirage
     4133  crate_eslcologne2015_promo_de_inferno
     4134  crate_eslcologne2015_promo_de_cbble
     4135  crate_eslcologne2015_promo_de_overpass
     4136  crate_eslcologne2015_promo_de_cache
     4137  crate_eslcologne2015_promo_de_train
     4138  crate_community_9
     4156  crate_sticker_pack_cluj2015_legends
     4157  crate_sticker_pack_cluj2015_challengers
     4158  crate_signature_pack_cluj2015_group_1
     4159  crate_signature_pack_cluj2015_group_2
     4160  crate_signature_pack_cluj2015_nip
     4161  crate_signature_pack_cluj2015_dig
     4162  crate_signature_pack_cluj2015_clg
     4163  crate_signature_pack_cluj2015_vex
     4164  crate_signature_pack_cluj2015_flip
     4165  crate_signature_pack_cluj2015_liq
     4166  crate_signature_pack_cluj2015_mss
     4167  crate_signature_pack_cluj2015_navi
     4168  crate_signature_pack_cluj2015_vp
     4169  crate_signature_pack_cluj2015_c9
     4170  crate_signature_pack_cluj2015_g2
     4171  crate_signature_pack_cluj2015_tit
     4172  crate_signature_pack_cluj2015_tsolo
     4173  crate_signature_pack_cluj2015_nv
     4174  crate_signature_pack_cluj2015_fntc
     4175  crate_signature_pack_cluj2015_lumi
     4176  crate_cluj2015_promo_de_dust2
     4177  crate_cluj2015_promo_de_mirage
     4178  crate_cluj2015_promo_de_inferno
     4179  crate_cluj2015_promo_de_cbble
     4180  crate_cluj2015_promo_de_overpass
     4181  crate_cluj2015_promo_de_cache
     4182  crate_cluj2015_promo_de_train
     4183  crate_sticker_pack_pinups_capsule
     4184  crate_sticker_pack_slid3_capsule
     4185  crate_sticker_pack_team_roles_capsule
     4186  crate_community_10
     4187  crate_community_11
     4205  crate_sticker_pack_columbus2016_legends
     4206  crate_sticker_pack_columbus2016_challengers
     4207  crate_signature_pack_columbus2016_group_1
     4208  crate_signature_pack_columbus2016_group_2
     4209  crate_signature_pack_columbus2016_nip
     4210  crate_signature_pack_columbus2016_splc
     4211  crate_signature_pack_columbus2016_clg
     4212  crate_signature_pack_columbus2016_gamb
     4213  crate_signature_pack_columbus2016_flip
     4214  crate_signature_pack_columbus2016_liq
     4215  crate_signature_pack_columbus2016_mss
     4216  crate_signature_pack_columbus2016_navi
     4217  crate_signature_pack_columbus2016_vp
     4218  crate_signature_pack_columbus2016_c9
     4219  crate_signature_pack_columbus2016_g2
     4220  crate_signature_pack_columbus2016_faze
     4221  crate_signature_pack_columbus2016_astr
     4222  crate_signature_pack_columbus2016_nv
     4223  crate_signature_pack_columbus2016_fntc
     4224  crate_signature_pack_columbus2016_lumi
     4225  crate_columbus2016_promo_de_dust2
     4226  crate_columbus2016_promo_de_mirage
     4227  crate_columbus2016_promo_de_inferno
     4228  crate_columbus2016_promo_de_cbble
     4229  crate_columbus2016_promo_de_overpass
     4230  crate_columbus2016_promo_de_cache
     4231  crate_columbus2016_promo_de_train
     4232  crate_columbus2016_promo_de_nuke
     4233  crate_community_12
     4234  crate_sprays_community_1
     4235  crate_pins_series_1
     4236  crate_community_13
     4254  crate_sticker_pack_cologne2016_legends
     4255  crate_sticker_pack_cologne2016_challengers
     4256  crate_signature_pack_cologne2016_group_1
     4257  crate_signature_pack_cologne2016_group_2
     4258  crate_signature_pack_cologne2016_nip
     4259  crate_signature_pack_cologne2016_optc
     4260  crate_signature_pack_cologne2016_clg
     4261  crate_signature_pack_cologne2016_gamb
     4262  crate_signature_pack_cologne2016_flip
     4263  crate_signature_pack_cologne2016_liq
     4264  crate_signature_pack_cologne2016_mss
     4265  crate_signature_pack_cologne2016_navi
     4266  crate_signature_pack_cologne2016_vp
     4267  crate_signature_pack_cologne2016_sk
     4268  crate_signature_pack_cologne2016_g2
     4269  crate_signature_pack_cologne2016_faze
     4270  crate_signature_pack_cologne2016_astr
     4271  crate_signature_pack_cologne2016_nv
     4272  crate_signature_pack_cologne2016_fntc
     4273  crate_signature_pack_cologne2016_dig
     4274  crate_cologne2016_promo_de_dust2
     4275  crate_cologne2016_promo_de_mirage
     4276  crate_cologne2016_promo_de_cbble
     4277  crate_cologne2016_promo_de_overpass
     4278  crate_cologne2016_promo_de_cache
     4279  crate_cologne2016_promo_de_train
     4280  crate_cologne2016_promo_de_nuke
     4281  crate_gamma_2
     4282  crate_sticker_pack_sugarface_capsule
     4283  crate_sticker_pack_bestiary_capsule
     4284  crate_pins_series_2
     4285  crate_sprays_vcap1
     4286  crate_sprays_illuminate1
     4287  crate_musickit_radicals_stattrak_capsule
     4288  crate_community_15
     4323  crate_sticker_pack_atlanta2017_legends
     4324  crate_sticker_pack_atlanta2017_challengers
     4325  crate_signature_pack_atlanta2017_group_1
     4326  crate_signature_pack_atlanta2017_group_2
     4327  crate_signature_pack_atlanta2017_astr
     4328  crate_signature_pack_atlanta2017_nv
     4329  crate_signature_pack_atlanta2017_faze
     4330  crate_signature_pack_atlanta2017_flip
     4331  crate_signature_pack_atlanta2017_fntc
     4332  crate_signature_pack_atlanta2017_g2
     4333  crate_signature_pack_atlanta2017_gamb
     4334  crate_signature_pack_atlanta2017_god
     4335  crate_signature_pack_atlanta2017_hlr
     4336  crate_signature_pack_atlanta2017_mss
     4337  crate_signature_pack_atlanta2017_navi
     4338  crate_signature_pack_atlanta2017_nor
     4339  crate_signature_pack_atlanta2017_optc
     4340  crate_signature_pack_atlanta2017_sk
     4341  crate_signature_pack_atlanta2017_liq
     4342  crate_signature_pack_atlanta2017_vp
     4344  crate_atlanta2017_promo_de_dust2
     4345  crate_atlanta2017_promo_de_mirage
     4346  crate_atlanta2017_promo_de_cbble
     4347  crate_atlanta2017_promo_de_overpass
     4348  crate_atlanta2017_promo_de_cache
     4349  crate_atlanta2017_promo_de_train
     4350  crate_atlanta2017_promo_de_nuke
     4351  crate_community_16
     4352  crate_community_17
     4391  crate_sticker_pack_krakow2017_legends
     4392  crate_sticker_pack_krakow2017_challengers
     4393  crate_signature_pack_krakow2017_group_1
     4394  crate_signature_pack_krakow2017_group_2
     4396  crate_krakow2017_promo_de_inferno
     4397  crate_krakow2017_promo_de_mirage
     4398  crate_krakow2017_promo_de_cbble
     4399  crate_krakow2017_promo_de_overpass
     4400  crate_krakow2017_promo_de_cache
     4401  crate_krakow2017_promo_de_train
     4402  crate_krakow2017_promo_de_nuke
     4403  crate_community_18
     4404  crate_sticker_pack_illuminate_capsule_01
     4405  crate_sticker_pack_illuminate_capsule_02
     4456  crate_sticker_pack_boston2018_legends
     4457  crate_sticker_pack_boston2018_challengers
     4458  crate_sticker_pack_boston2018_contenders
     4459  crate_signature_pack_boston2018_group_legends
     4460  crate_signature_pack_boston2018_group_challengers
     4461  crate_signature_pack_boston2018_group_contenders
     4463  crate_boston2018_promo_de_inferno
     4464  crate_boston2018_promo_de_mirage
     4465  crate_boston2018_promo_de_cbble
     4466  crate_boston2018_promo_de_overpass
     4467  crate_boston2018_promo_de_cache
     4468  crate_boston2018_promo_de_train
     4469  crate_boston2018_promo_de_nuke
     4470  crate_sticker_pack_comm2018_01_capsule
     4471  crate_community_19
     4474  crate_sticker_pack_boston2018_contenders_flg
     4475  crate_signature_pack_boston2018_group_contenders_flg
     4477  crate_sticker_pack_chicken_capsule
     4478  crate_sticker_pack_boston2018_legends_ntv
     4479  crate_signature_pack_boston2018_group_legends_ntv
     4481  crate_pins_series_3
     4482  crate_community_20
     4533  crate_sticker_pack_london2018_legends
     4534  crate_sticker_pack_london2018_challengers
     4535  crate_sticker_pack_london2018_contenders
     4536  crate_signature_pack_london2018_group_legends
     4537  crate_signature_pack_london2018_group_challengers
     4538  crate_signature_pack_london2018_group_contenders
     4540  crate_london2018_promo_de_inferno
     4541  crate_london2018_promo_de_mirage
     4542  crate_london2018_promo_de_dust2
     4543  crate_london2018_promo_de_overpass
     4544  crate_london2018_promo_de_cache
     4545  crate_london2018_promo_de_train
     4546  crate_london2018_promo_de_nuke
     4547  crate_sticker_pack_skillgroup_capsule
     4548  crate_community_21
     4584  crate_sticker_pack_katowice2019_legends
     4585  crate_sticker_pack_katowice2019_challengers
     4586  crate_sticker_pack_katowice2019_contenders
     4587  crate_signature_pack_katowice2019_group_legends
     4588  crate_signature_pack_katowice2019_group_challengers
     4589  crate_signature_pack_katowice2019_group_contenders
     4590  crate_katowice2019_promo_de_inferno
     4591  crate_katowice2019_promo_de_mirage
     4592  crate_katowice2019_promo_de_dust2
     4593  crate_katowice2019_promo_de_overpass
     4594  crate_katowice2019_promo_de_cache
     4595  crate_katowice2019_promo_de_train
     4596  crate_katowice2019_promo_de_nuke
     4597  crate_sticker_pack_halo_capsule
     4598  crate_community_22
     4599  crate_sticker_pack_feral_predators_capsule
     4600  crate_sticker_pack_shattered_web
     4601  selfopeningitem_set_overpass
     4602  selfopeningitem_set_cobblestone
     4603  selfopeningitem_set_cache
     4604  selfopeningitem_set_gods_and_monsters
     4605  selfopeningitem_set_chopshop
     4606  selfopeningitem_set_kimono
     4608  selfopeningitem_set_canals
     4610  crate_patch_pack01
     4611  selfopeningitem_set_norse
     4612  selfopeningitem_set_stmarc
     4614  crate_patch_pack02
     4615  crate_patch_pack_hlalyx
     4616  crate_sticker_pack_warhammer
     4620  crate_community_23
     4654  crate_sticker_pack_berlin2019_legends
     4655  crate_sticker_pack_berlin2019_challengers
     4656  crate_sticker_pack_berlin2019_contenders
     4657  crate_signature_pack_berlin2019_group_legends
     4658  crate_signature_pack_berlin2019_group_challengers
     4659  crate_signature_pack_berlin2019_group_contenders
     4660  crate_berlin2019_promo_de_inferno
     4661  crate_berlin2019_promo_de_mirage
     4662  crate_berlin2019_promo_de_dust2
     4663  crate_berlin2019_promo_de_overpass
     4664  crate_berlin2019_promo_de_train
     4665  crate_berlin2019_promo_de_nuke
     4666  crate_berlin2019_promo_de_vertigo
     4667  selfopeningitem_crate_sticker_pack_shattered_web
     4668  crate_xray_p250
     4669  crate_community_24
     4670  crate_sticker_pack_cs20_capsule
     4693  crate_pins_hlalyx
     4694  crate_sticker_pack_hlalyx_capsule
     4695  crate_community_25
     4696  crate_musickit_masterminds_capsule
     4697  crate_musickit_masterminds_stattrak_capsule
     4698  crate_community_26
     4707  character_operator_dossier_op10_rare
     4708  character_operator_dossier_op10_mythical
     4709  character_operator_dossier_op10_legendary
     4710  character_operator_dossier_op10_ancient1
     4717  crate_community_27
     4719  crate_sticker_pack_recoil
     4720  selfopeningitem_set_op10_ct
     4721  selfopeningitem_set_op10_t
     4722  selfopeningitem_set_op10_ancient
     4723  selfopeningitem_crate_sticker_pack_recoil
     4724  character_operator_dossier_op10_ancient2
     4729  crate_sticker_pack_broken_fang
     4731  selfopeningitem_crate_sticker_pack_broken_fang
     4743  crate_sticker_pack_rmr2020_legends
     4744  crate_sticker_pack_rmr2020_challengers
     4745  crate_sticker_pack_rmr2020_contenders
     4746  crate_sticker_pack_poorly_drawn
     4747  crate_community_28
     4754  crate_musickit_tacticians_capsule
     4755  crate_musickit_tacticians_stattrak_capsule
     4766  character_operator_dossier_op11_rare
     4767  character_operator_dossier_op11_mythical
     4768  character_operator_dossier_op11_legendary
     4769  character_operator_dossier_op11_ancient1
     4770  character_operator_dossier_op11_ancient2
     4779  crate_sticker_pack_riptide_surfshop
     4782  crate_sticker_pack_community2021_capsule
     4783  crate_sticker_pack_op_riptide_capsule
     4784  crate_sticker_pack_spring2022_capsule
     4785  selfopeningitem_set_train_2021_rare_standalone
     4786  selfopeningitem_set_train_2021_mythical_standalone
     4787  selfopeningitem_set_train_2021_legendary_standalone
     4788  selfopeningitem_set_train_2021_ancient_standalone
     4789  crate_sticker_pack_bf2042_capsule
     4790  crate_community_29
     4791  selfopeningitem_crate_sticker_pack_riptide_surfshop
     4792  selfopeningitem_set_vertigo_2021
     4793  selfopeningitem_set_dust_2_2021
     4794  selfopeningitem_set_mirage_2021
     4795  crate_patch_pack03
     4803  crate_sticker_pack_stockh2021_legends
     4804  crate_sticker_pack_stockh2021_challengers
     4805  crate_sticker_pack_stockh2021_contenders
     4806  crate_patch_pack_stockh2021_legends
     4807  crate_patch_pack_stockh2021_challengers
     4808  crate_patch_pack_stockh2021_contenders
     4809  crate_stockh2021_promo_de_inferno
     4810  crate_stockh2021_promo_de_mirage
     4811  crate_stockh2021_promo_de_dust2
     4812  crate_stockh2021_promo_de_overpass
     4813  crate_stockh2021_promo_de_ancient
     4814  crate_stockh2021_promo_de_nuke
     4815  crate_stockh2021_promo_de_vertigo
     4816  crate_signature_pack_stockh2021_group_champions
     4817  crate_signature_pack_stockh2021_group_finalists
     4818  crate_community_30
     4832  crate_sticker_pack_antwerp2022_legends
     4833  crate_sticker_pack_antwerp2022_challengers
     4834  crate_sticker_pack_antwerp2022_contenders
     4835  crate_antwerp2022_promo_de_inferno
     4836  crate_antwerp2022_promo_de_mirage
     4837  crate_antwerp2022_promo_de_dust2
     4838  crate_antwerp2022_promo_de_overpass
     4839  crate_antwerp2022_promo_de_ancient
     4840  crate_antwerp2022_promo_de_nuke
     4841  crate_antwerp2022_promo_de_vertigo
     4842  crate_signature_pack_antwerp2022_group_legends
     4843  crate_signature_pack_antwerp2022_group_challengers
     4844  crate_signature_pack_antwerp2022_group_contenders
     4845  crate_signature_pack_antwerp2022_group_champions
     4846  crate_community_31
     4847  crate_sticker_pack_csgo10_capsule
     4848  crate_musickit_initiators_capsule
     4849  crate_musickit_initiators_stattrak_capsule
     4857  crate_sticker_pack_rio2022_legends
     4858  crate_sticker_pack_rio2022_challengers
     4859  crate_sticker_pack_rio2022_contenders
     4860  crate_rio2022_promo_de_inferno
     4861  crate_rio2022_promo_de_mirage
     4862  crate_rio2022_promo_de_dust2
     4863  crate_rio2022_promo_de_overpass
     4864  crate_rio2022_promo_de_ancient
     4865  crate_rio2022_promo_de_nuke
     4866  crate_rio2022_promo_de_vertigo
     4867  crate_signature_pack_rio2022_group_legends
     4868  crate_signature_pack_rio2022_group_challengers
     4869  crate_signature_pack_rio2022_group_contenders
     4870  crate_signature_pack_rio2022_group_champions
     4871  storageunit0_rio2022
     4872  storageunit1_rio2022
     4879  crate_sticker_pack_community2022_capsule
     4880  crate_community_32
     4882  crate_anubis_storepromo
     4890  crate_sticker_pack_paris2023_legends
     4891  crate_sticker_pack_paris2023_challengers
     4892  crate_sticker_pack_paris2023_contenders
     4893  crate_paris2023_promo_de_inferno
     4894  crate_paris2023_promo_de_mirage
     4895  crate_paris2023_promo_de_anubis
     4896  crate_paris2023_promo_de_overpass
     4897  crate_paris2023_promo_de_ancient
     4898  crate_paris2023_promo_de_nuke
     4899  crate_paris2023_promo_de_vertigo
     4900  crate_signature_pack_paris2023_group_legends
     4901  crate_signature_pack_paris2023_group_challengers
     4902  crate_signature_pack_paris2023_group_contenders
     4903  crate_signature_pack_paris2023_group_champions
     6404  character_operator_dossier_op09_rare
     6405  character_operator_dossier_op09_mythical
     6406  character_operator_dossier_op09_legendary
     6407  character_operator_dossier_op09_ancient
     9600  crate_kinkerm_case

======================================================================
KEYS (46)
======================================================================
     1203  Weapon Case Key
     1204  E-Sports Weapon Case Key 1
     1212  Sticker Crate Key
     1214  Community Case Key 1
     1303  Community Case Key 2
     1304  Community Sticker Capsule 1 Key May 2014
     1305  Community Case Key 3 May 2014
     1307  Community Case Key 3 June 2014
     1308  Community Sticker Capsule 1 Key June 2014
     1309  Community Case Key 4 July 2014
     1310  Community Case Key 4 August 2014
     1311  Community Case Key September 4
     1313  Community Case Key 4
     1322  Community Case Key 5
     1323  Community Case Key 6
     1325  Community Case Key 7
     1330  Falchion Case Key
     1333  Community Case Key 9
     1334  crate_community_10 Key
     1347  community_12 Key
     1350  community_13 Key
     1351  gamma_2 Key
     1356  community_15 Key
     1364  community_16 Key
     1365  community_17 Key
     1366  community_18 Key
     1373  community_19 Key
     1374  community_20 Key
     1375  community_21 Key
     1383  community_22 Key
     1384  community_23 Key
     1385  community_24 Key
     1386  community_25 Key
     1387  community_26 Key
     1388  community_27 Key
     1389  community_28 Key
     1390  community_29 Key
     1391  community_30 Key
     1392  community_31 Key
     1393  community_32 Key
     4053  crate_sticker_pack_dhw2014_planetkeydynamics
     4068  crate_sticker_pack_eslkatowice2015_keyd
     7000  community_11 Key
     9601  crate_kinkerm_case_key
    30050  crate_key_community_30 - Item Contest Winner
    30092  set_anubis_storepromo_key - Item Contest Winner

======================================================================
AGENTS (playable characters) (141)
======================================================================
     4613  customplayer_tm_professional_varf5
     4619  customplayer_ctm_st6_variantj
     4680  customplayer_ctm_st6_variantl
     4711  customplayer_ctm_swat_variante
     4712  customplayer_ctm_swat_variantf
     4713  customplayer_ctm_swat_variantg
     4714  customplayer_ctm_swat_varianth
     4715  customplayer_ctm_swat_varianti
     4716  customplayer_ctm_swat_variantj
     4718  customplayer_tm_balkan_variantk
     4726  customplayer_tm_professional_varf
     4727  customplayer_tm_professional_varg
     4728  customplayer_tm_professional_varh
     4730  customplayer_tm_professional_varj
     4732  customplayer_tm_professional_vari
     4733  customplayer_tm_professional_varf1
     4734  customplayer_tm_professional_varf2
     4735  customplayer_tm_professional_varf3
     4736  customplayer_tm_professional_varf4
     4749  customplayer_ctm_gendarmerie_varianta
     4750  customplayer_ctm_gendarmerie_variantb
     4751  customplayer_ctm_gendarmerie_variantc
     4752  customplayer_ctm_gendarmerie_variantd
     4753  customplayer_ctm_gendarmerie_variante
     4756  customplayer_ctm_swat_variantk
     4757  customplayer_ctm_diver_varianta
     4771  customplayer_ctm_diver_variantb
     4772  customplayer_ctm_diver_variantc
     4773  customplayer_tm_jungle_raider_varianta
     4774  customplayer_tm_jungle_raider_variantb
     4775  customplayer_tm_jungle_raider_variantc
     4776  customplayer_tm_jungle_raider_variantd
     4777  customplayer_tm_jungle_raider_variante
     4778  customplayer_tm_jungle_raider_variantf
     4780  customplayer_tm_jungle_raider_variantb2
     4781  customplayer_tm_jungle_raider_variantf2
     5036  customplayer_t_map_based
     5037  customplayer_ct_map_based
     5038  customplayer_tm_anarchist
     5039  customplayer_tm_anarchist_varianta
     5040  customplayer_tm_anarchist_variantb
     5041  customplayer_tm_anarchist_variantc
     5042  customplayer_tm_anarchist_variantd
     5043  customplayer_tm_pirate
     5044  customplayer_tm_pirate_varianta
     5045  customplayer_tm_pirate_variantb
     5046  customplayer_tm_pirate_variantc
     5047  customplayer_tm_pirate_variantd
     5048  customplayer_tm_professional
     5049  customplayer_tm_professional_var1
     5050  customplayer_tm_professional_var2
     5051  customplayer_tm_professional_var3
